# l = 1
# n = 2
# E = -0.12499976
# r	u(r)	R(r)	V(r)
0.49259901	0.03871829	0.07860001	-2.03004872
0.49509901	0.03906343	0.07890023	-2.01979802
0.49759900	0.03940963	0.07919957	-2.00965032
0.50009900	0.03975689	0.07949805	-1.99960408
0.50259899	0.04010521	0.07979565	-1.98965778
0.50509899	0.04045458	0.08009239	-1.97980994
0.50759898	0.04080500	0.08038826	-1.97005910
0.51009898	0.04115645	0.08068326	-1.96040384
0.51259897	0.04150894	0.08097741	-1.95084276
0.51509897	0.04186245	0.08127069	-1.94137449
0.51759896	0.04221698	0.08156311	-1.93199768
0.52009896	0.04257253	0.08185468	-1.92271102
0.52259895	0.04292910	0.08214539	-1.91351320
0.52509895	0.04328666	0.08243525	-1.90440297
0.52759894	0.04364523	0.08272425	-1.89537907
0.53009894	0.04400479	0.08301241	-1.88644029
0.53259893	0.04436534	0.08329971	-1.87758543
0.53509893	0.04472687	0.08358617	-1.86881331
0.53759892	0.04508938	0.08387178	-1.86012277
0.54009892	0.04545286	0.08415655	-1.85151268
0.54259891	0.04581731	0.08444047	-1.84298194
0.54509891	0.04618272	0.08472356	-1.83452944
0.54759890	0.04654908	0.08500580	-1.82615413
0.55009890	0.04691640	0.08528721	-1.81785493
0.55259889	0.04728466	0.08556778	-1.80963084
0.55509889	0.04765386	0.08584752	-1.80148081
0.55759888	0.04802400	0.08612643	-1.79340387
0.56009888	0.04839506	0.08640450	-1.78539904
0.56259887	0.04876705	0.08668175	-1.77746534
0.56509887	0.04913996	0.08695816	-1.76960184
0.56759886	0.04951378	0.08723376	-1.76180761
0.57009886	0.04988851	0.08750853	-1.75408174
0.57259885	0.05026414	0.08778247	-1.74642333
0.57509885	0.05064067	0.08805560	-1.73883151
0.57759884	0.05101809	0.08832790	-1.73130540
0.58009884	0.05139640	0.08859939	-1.72384416
0.58259883	0.05177559	0.08887006	-1.71644696
0.58509883	0.05215566	0.08913992	-1.70911297
0.58759882	0.05253660	0.08940896	-1.70184139
0.59009882	0.05291841	0.08967719	-1.69463142
0.59259881	0.05330107	0.08994462	-1.68748228
0.59509881	0.05368460	0.09021123	-1.68039321
0.59759880	0.05406897	0.09047704	-1.67336345
0.60009880	0.05445419	0.09074204	-1.66639227
0.60259879	0.05484025	0.09100624	-1.65947892
0.60509879	0.05522715	0.09126964	-1.65262271
0.60759878	0.05561488	0.09153224	-1.64582291
0.61009878	0.05600343	0.09179404	-1.63907884
0.61259877	0.05639281	0.09205504	-1.63238981
0.61509877	0.05678300	0.09231525	-1.62575516
0.61759876	0.05717400	0.09257466	-1.61917422
0.62009876	0.05756580	0.09283328	-1.61264635
0.62259875	0.05795841	0.09309111	-1.60617090
0.62509875	0.05835182	0.09334816	-1.59974724
0.62759874	0.05874601	0.09360441	-1.59337476
0.63009874	0.05914099	0.09385988	-1.58705285
0.63259873	0.05953675	0.09411456	-1.58078090
0.63509873	0.05993329	0.09436847	-1.57455834
0.63759872	0.06033060	0.09462159	-1.56838457
0.64009872	0.06072868	0.09487393	-1.56225902
0.64259871	0.06112752	0.09512549	-1.55618114
0.64509871	0.06152711	0.09537627	-1.55015036
0.64759870	0.06192746	0.09562629	-1.54416615
0.65009870	0.06232855	0.09587552	-1.53822796
0.65259869	0.06273039	0.09612399	-1.53233527
0.65509869	0.06313296	0.09637168	-1.52648756
0.65759868	0.06353627	0.09661861	-1.52068431
0.66009868	0.06394031	0.09686477	-1.51492501
0.66259867	0.06434506	0.09711016	-1.50920918
0.66509867	0.06475054	0.09735479	-1.50353631
0.66759866	0.06515673	0.09759866	-1.49790593
0.67009866	0.06556363	0.09784176	-1.49231756
0.67259865	0.06597124	0.09808411	-1.48677074
0.67509865	0.06637954	0.09832569	-1.48126500
0.67759864	0.06678854	0.09856652	-1.47579988
0.68009864	0.06719823	0.09880660	-1.47037494
0.68259863	0.06760861	0.09904592	-1.46498974
0.68509863	0.06801967	0.09928449	-1.45964385
0.68759862	0.06843140	0.09952231	-1.45433682
0.69009862	0.06884381	0.09975938	-1.44906825
0.69259861	0.06925688	0.09999570	-1.44383771
0.69509861	0.06967062	0.10023128	-1.43864480
0.69759860	0.07008502	0.10046611	-1.43348911
0.70009860	0.07050007	0.10070020	-1.42837023
0.70259859	0.07091576	0.10093354	-1.42328779
0.70509859	0.07133211	0.10116615	-1.41824138
0.70759858	0.07174909	0.10139802	-1.41323064
0.71009858	0.07216671	0.10162915	-1.40825517
0.71259857	0.07258496	0.10185954	-1.40331462
0.71509857	0.07300384	0.10208920	-1.39840861
0.71759856	0.07342334	0.10231813	-1.39353679
0.72009856	0.07384346	0.10254633	-1.38869879
0.72259855	0.07426419	0.10277379	-1.38389427
0.72509855	0.07468554	0.10300053	-1.37912288
0.72759854	0.07510748	0.10322654	-1.37438428
0.73009854	0.07553003	0.10345183	-1.36967813
0.73259853	0.07595317	0.10367639	-1.36500409
0.73509853	0.07637691	0.10390023	-1.36036186
0.73759852	0.07680123	0.10412335	-1.35575108
0.74009852	0.07722614	0.10434575	-1.35117146
0.74259851	0.07765162	0.10456743	-1.34662268
0.74509851	0.07807768	0.10478840	-1.34210442
0.74759850	0.07850431	0.10500864	-1.33761637
0.75009850	0.07893150	0.10522818	-1.33315825
0.75259849	0.07935926	0.10544700	-1.32872974
0.75509849	0.07978757	0.10566511	-1.32433055
0.75759848	0.08021643	0.10588252	-1.31996040
0.76009848	0.08064585	0.10609921	-1.31561900
0.76259847	0.08107581	0.10631520	-1.31130606
0.76509847	0.08150631	0.10653048	-1.30702130
0.76759846	0.08193734	0.10674506	-1.30276446
0.77009846	0.08236891	0.10695894	-1.29853525
0.77259845	0.08280101	0.10717211	-1.29433342
0.77509845	0.08323363	0.10738459	-1.29015869
0.77759844	0.08366677	0.10759637	-1.28601080
0.78009844	0.08410042	0.10780745	-1.28188950
0.78259843	0.08453459	0.10801783	-1.27779453
0.78509843	0.08496926	0.10822753	-1.27372564
0.78759842	0.08540444	0.10843653	-1.26968258
0.79009842	0.08584011	0.10864483	-1.26566511
0.79259841	0.08627628	0.10885245	-1.26167297
0.79509841	0.08671294	0.10905938	-1.25770595
0.79759840	0.08715009	0.10926563	-1.25376379
0.80009840	0.08758772	0.10947119	-1.24984627
0.80259839	0.08802583	0.10967606	-1.24595315
0.80509839	0.08846441	0.10988025	-1.24208421
0.80759838	0.08890347	0.11008376	-1.23823923
0.81009838	0.08934299	0.11028659	-1.23441797
0.81259837	0.08978297	0.11048874	-1.23062023
0.81509837	0.09022342	0.11069022	-1.22684579
0.81759836	0.09066431	0.11089102	-1.22309442
0.82009836	0.09110566	0.11109114	-1.21936593
0.82259835	0.09154746	0.11129059	-1.21566010
0.82509835	0.09198970	0.11148937	-1.21197673
0.82759834	0.09243237	0.11168748	-1.20831561
0.83009834	0.09287549	0.11188492	-1.20467654
0.83259833	0.09331903	0.11208169	-1.20105933
0.83509833	0.09376300	0.11227780	-1.19746378
0.83759832	0.09420740	0.11247324	-1.19388968
0.84009832	0.09465221	0.11266802	-1.19033686
0.84259831	0.09509745	0.11286214	-1.18680513
0.84509831	0.09554309	0.11305559	-1.18329428
0.84759830	0.09598914	0.11324839	-1.17980415
0.85009830	0.09643560	0.11344052	-1.17633455
0.85259829	0.09688245	0.11363200	-1.17288529
0.85509829	0.09732971	0.11382283	-1.16945620
0.85759828	0.09777735	0.11401300	-1.16604711
0.86009828	0.09822539	0.11420252	-1.16265783
0.86259827	0.09867381	0.11439139	-1.15928820
0.86509827	0.09912262	0.11457960	-1.15593804
0.86759826	0.09957180	0.11476717	-1.15260719
0.87009826	0.10002136	0.11495409	-1.14929548
0.87259825	0.10047128	0.11514037	-1.14600275
0.87509825	0.10092158	0.11532600	-1.14272883
0.87759824	0.10137224	0.11551098	-1.13947356
0.88009824	0.10182326	0.11569533	-1.13623679
0.88259823	0.10227463	0.11587903	-1.13301835
0.88509823	0.10272636	0.11606210	-1.12981810
0.88759822	0.10317843	0.11624452	-1.12663587
0.89009822	0.10363085	0.11642631	-1.12347152
0.89259821	0.10408361	0.11660746	-1.12032489
0.89509821	0.10453671	0.11678798	-1.11719584
0.89759820	0.10499015	0.11696787	-1.11408422
0.90009820	0.10544391	0.11714712	-1.11098989
0.90259819	0.10589801	0.11732575	-1.10791270
0.90509819	0.10635242	0.11750374	-1.10485250
0.90759818	0.10680716	0.11768111	-1.10180917
0.91009818	0.10726221	0.11785785	-1.09878255
0.91259817	0.10771758	0.11803396	-1.09577252
0.91509817	0.10817326	0.11820946	-1.09277893
0.91759816	0.10862924	0.11838432	-1.08980166
0.92009816	0.10908552	0.11855857	-1.08684056
0.92259815	0.10954211	0.11873220	-1.08389551
0.92509815	0.10999899	0.11890521	-1.08096638
0.92759814	0.11045616	0.11907760	-1.07805304
0.93009814	0.11091362	0.11924937	-1.07515536
0.93259813	0.11137137	0.11942053	-1.07227321
0.93509813	0.11182939	0.11959108	-1.06940648
0.93759812	0.11228770	0.11976101	-1.06655503
0.94009812	0.11274628	0.11993033	-1.06371875
0.94259811	0.11320514	0.12009905	-1.06089752
0.94509811	0.11366426	0.12026715	-1.05809121
0.94759810	0.11412364	0.12043465	-1.05529970
0.95009810	0.11458329	0.12060154	-1.05252289
0.95259809	0.11504320	0.12076782	-1.04976065
0.95509809	0.11550336	0.12093350	-1.04701288
0.95759808	0.11596377	0.12109858	-1.04427945
0.96009808	0.11642443	0.12126306	-1.04156025
0.96259807	0.11688534	0.12142694	-1.03885518
0.96509807	0.11734648	0.12159022	-1.03616413
0.96759806	0.11780787	0.12175290	-1.03348698
0.97009806	0.11826949	0.12191499	-1.03082363
0.97259805	0.11873134	0.12207648	-1.02817397
0.97509805	0.11919342	0.12223737	-1.02553789
0.97759804	0.11965573	0.12239768	-1.02291530
0.98009804	0.12011826	0.12255739	-1.02030609
0.98259803	0.12058101	0.12271651	-1.01771016
0.98509803	0.12104397	0.12287505	-1.01512740
0.98759802	0.12150714	0.12303300	-1.01255772
0.99009802	0.12197053	0.12319036	-1.01000101
