# Energia = 2.50078368
# x	psi(x)	V(x)
-7.55999994	0.00180089	2.99999356
-7.51999998	0.00187543	2.99999309
-7.48000002	0.00195297	2.99999237
-7.44000006	0.00203363	2.99999189
-7.40000010	0.00211754	2.99999094
-7.36000013	0.00220484	2.99999046
-7.32000017	0.00229565	2.99998951
-7.27999973	0.00239014	2.99998856
-7.23999977	0.00248844	2.99998760
-7.19999981	0.00259072	2.99998665
-7.15999985	0.00269714	2.99998546
-7.11999989	0.00280787	2.99998426
-7.07999992	0.00292308	2.99998307
-7.03999996	0.00304296	2.99998164
-7.00000000	0.00316770	2.99997997
-6.96000004	0.00329751	2.99997830
-6.92000008	0.00343258	2.99997663
-6.88000011	0.00357313	2.99997473
-6.84000015	0.00371940	2.99997234
-6.80000019	0.00387160	2.99997044
-6.76000023	0.00402999	2.99996781
-6.72000027	0.00419482	2.99996519
-6.68000031	0.00436635	2.99996209
-6.64000034	0.00454485	2.99995899
-6.60000038	0.00473062	2.99995565
-6.56000042	0.00492394	2.99995184
-6.51999998	0.00512513	2.99994802
-6.48000002	0.00533450	2.99994349
-6.44000006	0.00555240	2.99993896
-6.40000010	0.00577916	2.99993372
-6.36000013	0.00601516	2.99992824
-6.32000017	0.00626077	2.99992228
-6.27999973	0.00651637	2.99991584
-6.23999977	0.00678239	2.99990892
-6.19999981	0.00705924	2.99990106
-6.15999985	0.00734737	2.99989295
-6.11999989	0.00764724	2.99988389
-6.07999992	0.00795932	2.99987435
-6.03999996	0.00828411	2.99986386
-6.00000000	0.00862214	2.99985242
-5.96000004	0.00897394	2.99984026
-5.92000008	0.00934007	2.99982691
-5.88000011	0.00972112	2.99981260
-5.84000015	0.01011769	2.99979687
-5.80000019	0.01053043	2.99978018
-5.76000023	0.01095998	2.99976158
-5.72000027	0.01140703	2.99974179
-5.68000031	0.01187230	2.99972034
-5.63999987	0.01235653	2.99969721
-5.59999990	0.01286049	2.99967194
-5.55999994	0.01338498	2.99964452
-5.51999998	0.01393084	2.99961472
-5.48000002	0.01449894	2.99958277
-5.44000006	0.01509019	2.99954820
-5.40000010	0.01570553	2.99951029
-5.36000013	0.01634594	2.99946976
-5.32000017	0.01701243	2.99942541
-5.28000021	0.01770608	2.99937773
-5.24000025	0.01842798	2.99932575
-5.20000029	0.01917929	2.99926972
-5.16000032	0.01996119	2.99920893
-5.11999989	0.02077493	2.99914289
-5.07999992	0.02162181	2.99907160
-5.03999996	0.02250317	2.99899411
-5.00000000	0.02342041	2.99891043
-4.96000004	0.02437499	2.99881983
-4.92000008	0.02536842	2.99872160
-4.88000011	0.02640227	2.99861503
-4.84000015	0.02747818	2.99849987
-4.80000019	0.02859786	2.99837470
-4.76000023	0.02976309	2.99823952
-4.72000027	0.03097570	2.99809265
-4.68000031	0.03223761	2.99793386
-4.64000034	0.03355081	2.99776196
-4.59999990	0.03491738	2.99757552
-4.55999994	0.03633946	2.99737358
-4.51999998	0.03781930	2.99715495
-4.48000002	0.03935922	2.99691820
-4.44000006	0.04096165	2.99666166
-4.40000010	0.04262907	2.99638343
-4.36000013	0.04436411	2.99608231
-4.32000017	0.04616946	2.99575615
-4.28000021	0.04804795	2.99540281
-4.24000025	0.05000248	2.99502015
-4.20000029	0.05203610	2.99460554
-4.16000032	0.05415196	2.99415660
-4.12000036	0.05635331	2.99367023
-4.07999992	0.05864356	2.99314308
-4.03999996	0.06102622	2.99257231
-4.00000000	0.06350493	2.99195433
-3.96000004	0.06608346	2.99128461
-3.92000008	0.06876573	2.99055934
-3.88000011	0.07155578	2.98977375
-3.84000015	0.07445781	2.98892283
-3.80000019	0.07747617	2.98800135
-3.76000023	0.08061532	2.98700285
-3.72000027	0.08387990	2.98592162
-3.68000031	0.08727471	2.98475051
-3.64000034	0.09080467	2.98348236
-3.60000038	0.09447490	2.98210859
-3.55999994	0.09829067	2.98062110
-3.51999998	0.10225736	2.97900963
-3.48000002	0.10638057	2.97726488
-3.44000006	0.11066598	2.97537518
-3.40000010	0.11511944	2.97332883
-3.36000013	0.11974698	2.97111273
-3.32000017	0.12455475	2.96871328
-3.28000021	0.12954904	2.96611476
-3.24000025	0.13473625	2.96330118
-3.20000029	0.14012291	2.96025491
-3.16000032	0.14571556	2.95695639
-3.12000036	0.15152092	2.95338559
-3.07999992	0.15754575	2.94951940
-3.03999996	0.16379680	2.94533420
-3.00000000	0.17028086	2.94080377
-2.96000004	0.17700467	2.93589973
-2.92000008	0.18397495	2.93059206
-2.88000011	0.19119823	2.92484760
-2.84000015	0.19868097	2.91863108
-2.80000019	0.20642935	2.91190410
-2.76000023	0.21444927	2.90462542
-2.72000027	0.22274628	2.89675045
-2.68000031	0.23132554	2.88823175
-2.64000034	0.24019155	2.87901688
-2.60000038	0.24934818	2.86905146
-2.55999994	0.25879857	2.85827446
-2.51999998	0.26854491	2.84662247
-2.48000002	0.27858832	2.83402586
-2.44000006	0.28892872	2.82041073
-2.40000010	0.29956445	2.80569744
-2.36000013	0.31049234	2.78980041
-2.32000017	0.32170722	2.77262831
-2.28000021	0.33320177	2.75408316
-2.24000025	0.34496620	2.73406029
-2.20000029	0.35698786	2.71244812
-2.16000032	0.36925104	2.68912721
-2.12000036	0.38173646	2.66397047
-2.08000040	0.39442083	2.63684344
-2.03999996	0.40727666	2.60760188
-2.00000000	0.42027119	2.57609510
-1.96000004	0.43336648	2.54216194
-1.92000008	0.44651866	2.50563335
-1.88000011	0.45967716	2.46633124
-1.84000015	0.47278428	2.42406845
-1.80000019	0.48577467	2.37864995
-1.76000023	0.49857438	2.32987189
-1.72000027	0.51110065	2.27752256
-1.68000031	0.52326101	2.22138453
-1.64000034	0.53495264	2.16123271
-1.60000038	0.54606205	2.09683800
-1.56000042	0.55646467	2.02796841
-1.52000046	0.56602436	1.95438945
-1.48000050	0.57459337	1.87586832
-1.44000053	0.58201241	1.79217505
-1.40000057	0.58811092	1.70308685
-1.36000061	0.59270740	1.60839033
-1.32000065	0.59561050	1.50788808
-1.27999973	0.59662074	1.40139794
-1.23999977	0.59553170	1.28877032
-1.19999981	0.59213281	1.16987944
-1.15999985	0.58621240	1.04463840
-1.11999989	0.57756102	0.91300499
-1.07999992	0.56597602	0.77498853
-1.03999996	0.55126697	0.63065886
-1.00000000	0.53326088	0.48015422
-0.96000004	0.51180935	0.32368845
-0.92000008	0.48679549	0.16156232
-0.88000011	0.45814154	-0.00583005
-0.84000015	0.42581746	-0.17799461
-0.80000019	0.38984853	-0.35433018
-0.76000023	0.35032374	-0.53412116
-0.72000027	0.30740318	-0.71653640
-0.68000031	0.26132467	-0.90062749
-0.64000034	0.21240899	-1.08532941
-0.60000038	0.16106309	-1.26946485
-0.56000042	0.10778111	-1.45175171
-0.52000046	0.05314263	-1.63081455
-0.48000050	-0.00219244	-1.80519748
-0.44000053	-0.05749229	-1.97338700
-0.40000057	-0.11196529	-2.13383102
-0.36000061	-0.16477562	-2.28496099
-0.32000065	-0.21506222	-2.42523050
-0.28000069	-0.26196045	-2.55313468
-0.23999977	-0.30462584	-2.66725159
-0.19999981	-0.34225932	-2.76625800
-0.15999985	-0.37413207	-2.84898472
-0.11999989	-0.39960966	-2.91442323
-0.07999992	-0.41817382	-2.96176314
-0.03999996	-0.42944062	-2.99041033
0.00000000	-0.43317443	-3.00000000
0.03999996	-0.42929664	-2.99041033
0.07999992	-0.41788837	-2.96176314
0.11999989	-0.39918771	-2.91442323
0.15999985	-0.37358084	-2.84898472
0.19999981	-0.34158823	-2.76625800
0.23999977	-0.30384618	-2.66725159
0.27999973	-0.26108506	-2.55313730
0.31999969	-0.21410523	-2.42523432
0.35999966	-0.16375211	-2.28496504
0.39999962	-0.11089090	-2.13383436
0.43999958	-0.05638291	-1.97339165
0.47999954	-0.00106394	-1.80520177
0.51999950	0.05427473	-1.63081849
0.55999947	0.10890186	-1.45175636
0.59999943	0.16215833	-1.26946914
0.63999939	0.21346553	-1.08533335
0.67999935	0.26233038	-0.90063179
0.71999931	0.30834714	-0.71654069
0.76000023	0.35119623	-0.53412116
0.80000019	0.39064103	-0.35433018
